,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Rain Inches (last 3 hours),Snow Inches (last 3 hours),Date
0,Rikitea,-23.12,-134.97,76.96,76,74,20.18,PF,broken clouds,0.0,0.0,2020-03-04 22:00:26
1,Port Alfred,-33.59,26.89,71.01,82,0,5.99,ZA,clear sky,0.0,0.0,2020-03-04 22:00:26
2,Cabo San Lucas,22.89,-109.91,73.4,43,40,11.41,MX,scattered clouds,0.0,0.0,2020-03-04 22:00:09
3,Thompson,55.74,-97.86,23.0,57,75,4.7,CA,broken clouds,0.0,0.0,2020-03-04 22:00:27
4,Saint Anthony,45.02,-93.22,42.01,44,40,9.17,US,scattered clouds,0.0,0.0,2020-03-04 22:00:27
5,Kapaa,22.08,-159.32,78.8,74,20,10.29,US,few clouds,0.0,0.0,2020-03-04 22:00:27
6,Atuona,-9.8,-139.03,80.85,74,27,12.66,PF,scattered clouds,0.0,0.0,2020-03-04 21:54:40
7,Provideniya,64.38,-173.3,8.6,65,0,4.47,RU,clear sky,0.0,0.0,2020-03-04 22:00:28
8,Castro,-24.79,-50.01,70.45,63,0,0.51,BR,clear sky,0.0,0.0,2020-03-04 21:56:17
9,Ambilobe,-13.2,49.05,75.83,92,68,3.76,MG,light rain,2.13,0.0,2020-03-04 22:00:28
10,Chapais,49.78,-74.85,24.8,68,90,14.99,CA,overcast clouds,0.0,0.0,2020-03-04 22:00:28
11,Putyatino,54.16,41.12,32.38,94,100,5.17,RU,overcast clouds,0.0,0.0,2020-03-04 22:00:29
12,Maniitsoq,65.42,-52.9,14.0,40,20,3.36,GL,few clouds,0.0,0.0,2020-03-04 22:00:29
13,Mataura,-46.19,168.86,57.0,68,0,3.0,NZ,clear sky,0.0,0.0,2020-03-04 21:54:44
14,Busselton,-33.65,115.33,62.01,56,94,9.64,AU,overcast clouds,0.0,0.0,2020-03-04 21:54:42
15,Peniche,39.36,-9.38,60.01,87,20,9.17,PT,few clouds,0.0,0.0,2020-03-04 22:00:29
16,Birao,10.28,22.79,80.91,12,0,8.66,CF,clear sky,0.0,0.0,2020-03-04 22:00:30
17,Victoria,22.29,114.16,63.0,93,40,12.75,HK,light rain,0.0,0.0,2020-03-04 21:53:22
18,Ushuaia,-54.8,-68.3,57.2,71,40,4.5,AR,scattered clouds,0.0,0.0,2020-03-04 21:56:49
19,Asau,46.43,26.4,52.0,81,72,13.87,RO,broken clouds,0.0,0.0,2020-03-04 22:00:30
20,Tahta,26.77,31.5,67.55,13,0,8.77,EG,clear sky,0.0,0.0,2020-03-04 22:00:30
21,Clarence Town,-32.58,151.78,73.99,83,90,9.17,AU,light rain,0.0,0.0,2020-03-04 22:00:31
22,Ngunguru,-35.62,174.5,66.0,97,100,10.0,NZ,light rain,2.06,0.0,2020-03-04 22:00:31
23,Henties Bay,-22.12,14.28,68.0,90,41,5.01,NA,scattered clouds,0.0,0.0,2020-03-04 22:00:31
24,Bathsheba,13.22,-59.52,82.4,61,40,20.8,BB,scattered clouds,0.0,0.0,2020-03-04 22:00:07
25,Kresek,-6.13,106.38,78.01,88,40,9.17,ID,light rain,0.0,0.0,2020-03-04 22:00:32
26,Forbes,-33.38,148.02,68.0,90,100,1.99,AU,moderate rain,4.44,0.0,2020-03-04 22:00:32
27,Shimoda,34.67,138.95,52.0,81,100,1.01,JP,overcast clouds,0.0,0.0,2020-03-04 22:00:32
28,Namibe,-15.2,12.15,73.74,84,0,15.79,AO,clear sky,0.0,0.0,2020-03-04 22:00:32
29,Esil,51.96,66.4,15.53,88,100,8.34,KZ,overcast clouds,0.0,0.0,2020-03-04 22:00:33
30,Xining,36.62,101.77,25.12,41,1,5.53,CN,clear sky,0.0,0.0,2020-03-04 22:00:33
31,Sinnamary,5.38,-52.95,79.56,74,35,13.47,GF,scattered clouds,0.0,0.0,2020-03-04 22:00:33
32,Akhtubinsk,48.28,46.17,46.92,82,100,7.05,RU,overcast clouds,0.0,0.0,2020-03-04 22:00:33
33,Bethel,41.37,-73.41,55.99,39,20,17.22,US,few clouds,0.0,0.0,2020-03-04 21:58:23
34,Berdigestyakh,62.1,126.7,-5.13,97,100,4.36,RU,overcast clouds,0.0,0.0,2020-03-04 22:00:34
35,New Norfolk,-42.78,147.06,62.6,93,75,10.29,AU,moderate rain,0.0,0.0,2020-03-04 21:56:49
36,Narsaq,60.92,-46.05,8.6,46,0,3.36,GL,clear sky,0.0,0.0,2020-03-04 22:00:34
37,Ponta Delgada,37.73,-25.67,57.2,62,20,5.82,PT,few clouds,0.0,0.0,2020-03-04 22:00:34
38,Manaure,11.78,-72.44,93.2,34,1,17.22,CO,clear sky,0.0,0.0,2020-03-04 22:00:35
39,Vaini,-21.2,-175.2,82.4,74,40,8.05,TO,scattered clouds,0.0,0.0,2020-03-04 22:00:35
40,Lebu,-37.62,-73.65,69.62,50,6,14.12,CL,clear sky,0.0,0.0,2020-03-04 21:56:49
41,Mehamn,71.04,27.85,23.0,67,93,8.05,NO,overcast clouds,0.0,0.0,2020-03-04 22:00:36
42,La Ronge,55.1,-105.28,24.8,85,90,2.24,CA,light snow,0.0,0.0,2020-03-04 22:00:36
43,Ribeira Grande,38.52,-28.7,57.2,62,20,5.82,PT,few clouds,0.0,0.0,2020-03-04 22:00:36
44,Jaciara,-15.97,-54.97,80.92,76,26,4.09,BR,scattered clouds,0.0,0.0,2020-03-04 21:57:05
45,Vanimo,-2.67,141.3,82.26,80,100,6.06,PG,light rain,1.0,0.0,2020-03-04 22:00:37
46,Tasiilaq,65.61,-37.64,26.6,79,98,9.17,GL,overcast clouds,0.0,0.0,2020-03-04 22:00:37
47,Hermanus,-34.42,19.23,66.0,91,0,2.59,ZA,clear sky,0.0,0.0,2020-03-04 22:00:37
48,Jamestown,42.1,-79.24,36.0,97,90,14.99,US,light rain,0.0,0.0,2020-03-04 22:00:37
49,Hinton,53.4,-117.59,28.45,56,100,15.48,CA,overcast clouds,0.0,0.0,2020-03-04 22:00:37
50,Esperance,-33.87,121.9,59.0,77,0,12.75,AU,clear sky,0.0,0.0,2020-03-04 22:00:38
51,Biak,-0.91,122.88,81.14,75,100,7.9,ID,light rain,0.19,0.0,2020-03-04 22:00:38
52,Hilo,19.73,-155.09,78.8,69,75,11.41,US,broken clouds,0.0,0.0,2020-03-04 22:00:05
53,Bubaque,11.28,-15.83,79.81,70,0,16.51,GW,clear sky,0.0,0.0,2020-03-04 22:00:39
54,Bredasdorp,-34.53,20.04,68.0,77,0,5.82,ZA,clear sky,0.0,0.0,2020-03-04 22:00:39
55,Panguna,-6.32,155.48,73.42,93,100,1.19,PG,overcast clouds,0.0,0.0,2020-03-04 22:00:39
56,Luderitz,-26.65,15.16,69.8,83,0,13.87,NA,clear sky,0.0,0.0,2020-03-04 21:54:41
57,Codrington,-38.27,141.97,61.3,91,100,11.99,AU,light rain,0.31,0.0,2020-03-04 22:00:40
58,Barrow,71.29,-156.79,-32.8,93,1,5.82,US,clear sky,0.0,0.0,2020-03-04 22:00:40
59,Chokurdakh,70.63,147.92,-12.89,80,0,2.98,RU,clear sky,0.0,0.0,2020-03-04 22:00:40
60,Gallup,35.53,-108.74,60.8,12,1,8.05,US,clear sky,0.0,0.0,2020-03-04 21:56:59
61,East London,-33.02,27.91,77.25,85,0,11.16,ZA,clear sky,0.0,0.0,2020-03-04 22:00:41
62,Constitucion,-35.33,-72.42,67.17,57,0,12.82,CL,clear sky,0.0,0.0,2020-03-04 22:00:41
63,Opuwo,-18.06,13.84,67.69,62,50,3.31,NA,scattered clouds,0.0,0.0,2020-03-04 22:00:41
64,Xunchang,28.45,104.72,52.29,68,54,0.74,CN,broken clouds,0.0,0.0,2020-03-04 22:00:42
65,Ucluelet,48.93,-125.55,48.0,70,90,5.82,CA,overcast clouds,0.0,0.0,2020-03-04 21:57:33
66,Mar Del Plata,-38.0,-57.56,78.01,94,75,13.87,AR,fog,0.0,0.0,2020-03-04 22:00:42
67,Walvis Bay,-22.96,14.51,68.0,88,0,2.24,NA,clear sky,0.0,0.0,2020-03-04 22:00:42
68,Saskylakh,71.92,114.08,-2.15,97,89,2.82,RU,overcast clouds,0.0,0.0,2020-03-04 22:00:43
69,Dikson,73.51,80.55,-12.14,97,100,14.97,RU,overcast clouds,0.0,0.0,2020-03-04 22:00:43
70,Cape Town,-33.93,18.42,68.0,88,3,8.05,ZA,clear sky,0.0,0.0,2020-03-04 21:57:31
71,Punta Arenas,-53.15,-70.92,62.6,63,75,21.92,CL,broken clouds,0.0,0.0,2020-03-04 21:56:53
72,Kongolo,-5.38,27.0,70.07,95,100,1.39,CD,overcast clouds,0.0,0.0,2020-03-04 22:00:44
73,Mitsamiouli,-11.38,43.28,80.6,83,20,6.93,KM,few clouds,0.0,0.0,2020-03-04 22:00:44
74,Rovaniemi,66.5,25.72,17.6,72,100,13.87,FI,overcast clouds,0.0,0.0,2020-03-04 21:59:13
75,Ipixuna,-1.76,-48.8,82.4,74,75,8.05,BR,broken clouds,0.0,0.0,2020-03-04 22:00:44
76,Pampa,35.54,-100.96,60.8,19,1,3.36,US,clear sky,0.0,0.0,2020-03-04 21:58:31
77,Maldonado,-34.67,-54.92,77.0,69,20,13.87,UY,few clouds,0.0,0.0,2020-03-04 22:00:45
78,Lubben,51.95,13.9,41.0,86,41,6.93,DE,scattered clouds,0.0,0.0,2020-03-04 22:00:45
79,Kavaratti,10.57,72.64,81.81,75,2,14.88,IN,clear sky,0.0,0.0,2020-03-04 22:00:45
80,Taltal,-25.4,-70.48,67.19,69,0,8.21,CL,clear sky,0.0,0.0,2020-03-04 22:00:46
81,Urucui,-7.23,-44.56,75.43,95,93,5.1,BR,moderate rain,3.94,0.0,2020-03-04 22:00:46
82,Arraial Do Cabo,-22.97,-42.03,75.2,88,75,12.75,BR,broken clouds,0.0,0.0,2020-03-04 22:00:46
83,Lahij,13.17,44.58,76.24,59,10,6.8,YE,clear sky,0.0,0.0,2020-03-04 22:00:46
84,Nikolskoye,59.7,30.79,39.2,86,90,11.18,RU,light intensity shower rain,0.0,0.0,2020-03-04 21:56:49
85,Cape Canaveral,28.41,-80.6,90.0,58,75,10.29,US,broken clouds,0.0,0.0,2020-03-04 22:00:47
86,Chimbote,-9.09,-78.58,81.81,56,86,12.03,PE,overcast clouds,0.0,0.0,2020-03-04 22:00:47
87,Kaitangata,-46.28,169.85,49.08,75,0,6.04,NZ,clear sky,0.0,0.0,2020-03-04 22:00:47
88,Maragogi,-9.01,-35.22,84.24,75,0,13.44,BR,clear sky,0.0,0.0,2020-03-04 22:00:47
89,Atherton,53.52,-2.49,41.0,80,99,3.36,GB,overcast clouds,0.0,0.0,2020-03-04 21:59:51
90,Takaka,-40.85,172.8,62.01,58,27,4.0,NZ,scattered clouds,0.0,0.0,2020-03-04 22:00:48
91,Hasaki,35.73,140.83,46.4,93,75,2.24,JP,mist,0.0,0.0,2020-03-04 22:00:48
92,Tuatapere,-46.13,167.68,57.0,67,0,3.0,NZ,clear sky,0.0,0.0,2020-03-04 22:00:48
93,Casper,42.87,-106.31,45.0,52,1,28.86,US,clear sky,0.0,0.0,2020-03-04 21:57:54
94,Tuktoyaktuk,69.45,-133.04,-25.6,74,75,10.29,CA,broken clouds,0.0,0.0,2020-03-04 22:00:49
95,Quang Ngai,15.12,108.8,75.58,82,100,7.07,VN,light rain,0.25,0.0,2020-03-04 22:00:49
96,Airai,-8.93,125.41,67.23,93,100,2.57,TL,overcast clouds,0.0,0.0,2020-03-04 22:00:49
97,Vesoul,47.58,5.83,46.4,80,90,4.7,FR,overcast clouds,0.0,0.0,2020-03-04 22:00:49
98,Lorengau,-2.02,147.27,84.04,73,93,9.55,PG,moderate rain,3.75,0.0,2020-03-04 22:00:50
99,Iqaluit,63.75,-68.51,5.0,77,75,2.82,CA,light snow,0.0,0.0,2020-03-04 22:00:50
100,Puerto Ayora,-0.74,-90.35,82.4,78,75,6.93,EC,shower rain,0.0,0.0,2020-03-04 22:00:50
101,Maniwaki,46.38,-75.97,33.8,81,94,8.41,CA,light snow,0.0,0.25,2020-03-04 22:00:50
102,Kyzyl-Suu,42.34,78.0,29.35,52,0,5.44,KG,clear sky,0.0,0.0,2020-03-04 22:00:51
103,Salalah,17.02,54.09,82.4,15,4,8.05,OM,clear sky,0.0,0.0,2020-03-04 22:00:51
104,Knysna,-34.04,23.05,69.8,68,90,5.82,ZA,overcast clouds,0.0,0.0,2020-03-04 22:00:51
105,Moron,-34.65,-58.62,90.0,35,0,10.29,AR,clear sky,0.0,0.0,2020-03-04 22:00:51
106,Husavik,66.04,-17.34,8.6,71,98,8.05,IS,overcast clouds,0.0,0.0,2020-03-04 21:56:54
107,Port Elizabeth,-33.92,25.57,73.4,69,57,16.11,ZA,broken clouds,0.0,0.0,2020-03-04 21:57:54
108,Vermillion,42.78,-96.93,64.4,25,1,23.04,US,clear sky,0.0,0.0,2020-03-04 22:00:52
109,Oblivskaya,48.54,42.5,47.98,68,35,5.79,RU,scattered clouds,0.0,0.0,2020-03-04 22:00:52
110,Torbay,47.67,-52.73,46.99,93,90,34.45,CA,moderate rain,0.0,0.0,2020-03-04 21:58:03
111,Nome,64.5,-165.41,1.99,70,1,3.36,US,clear sky,0.0,0.0,2020-03-04 22:00:53
112,Honiara,-9.43,159.95,80.6,83,20,3.36,SB,few clouds,0.0,0.0,2020-03-04 22:00:53
113,Pangnirtung,66.15,-65.71,10.4,85,90,8.05,CA,light snow,0.0,0.0,2020-03-04 22:00:53
114,College,64.86,-147.8,-7.01,82,1,2.28,US,clear sky,0.0,0.0,2020-03-04 22:00:53
115,Yellowknife,62.46,-114.35,-4.0,64,75,12.75,CA,light snow,0.0,0.0,2020-03-04 22:00:43
116,Butaritari,3.07,172.79,83.01,79,100,16.15,KI,overcast clouds,0.0,0.0,2020-03-04 22:00:54
117,Bouna,9.27,-3.0,89.04,31,96,4.74,CI,overcast clouds,0.0,0.0,2020-03-04 22:00:54
118,Yingkou,40.66,122.23,29.14,59,0,8.14,CN,clear sky,0.0,0.0,2020-03-04 22:00:54
119,Te Anau,-45.42,167.72,43.84,78,0,2.46,NZ,clear sky,0.0,0.0,2020-03-04 22:00:55
120,Senneterre,48.38,-77.23,37.4,40,75,6.93,CA,broken clouds,0.0,0.0,2020-03-04 22:00:55
121,Kyren,51.68,102.14,13.17,96,100,0.43,RU,light snow,0.0,0.75,2020-03-04 22:00:55
122,Hobart,-42.88,147.33,62.6,93,75,10.29,AU,heavy intensity rain,0.0,0.0,2020-03-04 21:57:06
123,Port Macquarie,-31.43,152.92,75.99,88,90,4.7,AU,overcast clouds,0.0,0.0,2020-03-04 22:00:55
124,Emerald,-23.53,148.17,77.0,94,90,10.29,AU,overcast clouds,0.0,0.0,2020-03-04 22:00:56
125,Porbandar,21.64,69.61,74.89,79,0,12.37,IN,clear sky,0.0,0.0,2020-03-04 22:00:56
126,Sirjan,29.45,55.68,42.12,37,0,9.24,IR,clear sky,0.0,0.0,2020-03-04 22:00:56
127,Antsohihy,-14.88,47.99,73.6,92,38,6.13,MG,scattered clouds,0.0,0.0,2020-03-04 22:00:57
128,Puerto Del Rosario,28.5,-13.86,66.2,88,75,11.41,ES,broken clouds,0.0,0.0,2020-03-04 22:00:57
129,Aykhal,66.0,111.5,1.4,84,99,6.71,RU,overcast clouds,0.0,0.0,2020-03-04 22:00:57
130,Geraldton,-28.77,114.6,66.2,63,33,5.82,AU,scattered clouds,0.0,0.0,2020-03-04 22:00:49
131,Hami,42.8,93.45,38.1,41,99,8.03,CN,overcast clouds,0.0,0.0,2020-03-04 22:00:58
132,Bluff,-46.6,168.33,57.0,67,0,3.0,NZ,clear sky,0.0,0.0,2020-03-04 22:00:58
133,Albany,42.6,-73.97,48.2,64,90,10.29,US,overcast clouds,0.0,0.0,2020-03-04 22:00:37
134,Port Moresby,-9.44,147.18,77.0,100,40,2.24,PG,scattered clouds,0.0,0.0,2020-03-04 22:00:59
135,Jalu,29.03,21.55,63.27,30,2,4.41,LY,clear sky,0.0,0.0,2020-03-04 22:00:59
136,Charters Towers,-20.1,146.27,75.27,91,70,4.94,AU,broken clouds,0.0,0.0,2020-03-04 22:00:59
137,Porto Walter,-8.27,-72.74,90.39,52,61,4.34,BR,broken clouds,0.0,0.0,2020-03-04 22:00:59
138,Nanortalik,60.14,-45.24,20.14,56,0,12.77,GL,clear sky,0.0,0.0,2020-03-04 22:01:00
139,Talnakh,69.49,88.4,10.4,85,40,11.18,RU,light snow,0.0,0.0,2020-03-04 22:01:00
140,Sars,56.55,57.14,24.51,95,100,6.58,RU,light snow,0.0,0.19,2020-03-04 22:01:00
141,Isangel,-19.55,169.27,84.2,79,20,10.94,VU,few clouds,0.0,0.0,2020-03-04 22:01:00
142,Vilhena,-12.74,-60.15,84.2,54,40,6.93,BR,scattered clouds,0.0,0.0,2020-03-04 21:58:18
143,Faanui,-16.48,-151.75,81.93,78,76,10.54,PF,broken clouds,0.0,0.0,2020-03-04 22:01:01
144,Chuy,-33.7,-53.46,74.03,62,0,11.74,UY,clear sky,0.0,0.0,2020-03-04 22:01:01
145,Khatanga,71.97,102.5,-6.79,100,95,6.85,RU,overcast clouds,0.0,0.0,2020-03-04 22:01:01
146,Saldanha,-33.01,17.94,66.2,88,0,10.29,ZA,clear sky,0.0,0.0,2020-03-04 22:01:01
147,Yulara,-25.24,130.99,60.8,59,0,5.82,AU,clear sky,0.0,0.0,2020-03-04 22:01:02
148,Mount Gambier,-37.83,140.77,60.8,93,90,10.29,AU,overcast clouds,0.0,0.0,2020-03-04 21:57:13
149,Touros,-5.2,-35.46,84.2,70,40,10.29,BR,scattered clouds,0.0,0.0,2020-03-04 22:01:02
150,Olafsvik,64.89,-23.71,29.64,70,57,7.16,IS,broken clouds,0.0,0.0,2020-03-04 22:01:02
151,Ancud,-41.87,-73.82,71.6,60,0,8.05,CL,clear sky,0.0,0.0,2020-03-04 22:01:03
152,La Libertad,-2.23,-80.9,84.2,74,20,6.93,EC,few clouds,0.0,0.0,2020-03-04 22:01:03
153,Laje,-10.18,-40.97,74.86,83,100,1.41,BR,moderate rain,6.31,0.0,2020-03-04 22:01:03
154,Pacific Grove,36.62,-121.92,79.0,27,1,3.36,US,clear sky,0.0,0.0,2020-03-04 22:01:03
155,Xuanzhou,30.95,118.76,39.34,68,59,10.74,CN,broken clouds,0.0,0.0,2020-03-04 22:01:03
156,Cockburn Town,21.46,-71.14,80.6,74,40,11.41,TC,scattered clouds,0.0,0.0,2020-03-04 22:01:04
157,Lazaro Cardenas,17.96,-102.2,83.26,53,0,8.66,MX,clear sky,0.0,0.0,2020-03-04 22:01:04
158,Margate,51.38,1.39,45.0,100,75,8.05,GB,moderate rain,0.0,0.0,2020-03-04 21:57:45
159,The Valley,18.22,-63.06,82.4,69,40,13.87,AI,scattered clouds,0.0,0.0,2020-03-04 22:01:05
160,Leningradskiy,69.38,178.42,0.57,61,51,3.58,RU,broken clouds,0.0,0.0,2020-03-04 22:01:05
161,Lagoa,39.05,-27.98,59.16,68,16,19.53,PT,few clouds,0.0,0.0,2020-03-04 22:01:05
162,Progreso,21.28,-89.67,100.0,32,20,13.87,MX,few clouds,0.0,0.0,2020-03-04 21:57:55
163,Feijo,-8.16,-70.35,88.23,63,98,0.81,BR,overcast clouds,0.0,0.0,2020-03-04 22:01:05
164,Mabaruma,8.2,-59.78,82.38,63,45,6.49,GY,light rain,0.19,0.0,2020-03-04 22:01:06
165,Berezovyy,51.67,135.7,9.07,96,90,1.25,RU,overcast clouds,0.0,0.0,2020-03-04 22:01:06
166,Storforshei,66.4,14.52,28.4,58,75,18.34,NO,broken clouds,0.0,0.0,2020-03-04 22:01:06
167,Vao,-22.67,167.48,79.32,76,11,8.61,NC,few clouds,0.0,0.0,2020-03-04 22:01:06
168,Bandarbeyla,9.49,50.81,77.52,69,17,9.91,SO,few clouds,0.0,0.0,2020-03-04 22:01:07
169,Karpathos,35.51,27.21,60.8,87,100,12.75,GR,light rain,0.19,0.0,2020-03-04 22:01:07
170,Pevek,69.7,170.31,-2.29,68,71,9.82,RU,broken clouds,0.0,0.0,2020-03-04 22:01:07
171,Tessalit,20.2,1.01,78.76,11,0,10.27,ML,clear sky,0.0,0.0,2020-03-04 22:01:07
172,Olinda,-8.01,-34.86,86.0,70,40,8.05,BR,scattered clouds,0.0,0.0,2020-03-04 22:00:39
173,Kodiak,57.79,-152.41,17.6,48,40,21.92,US,scattered clouds,0.0,0.0,2020-03-04 21:58:52
174,Nuuk,64.18,-51.72,14.0,72,20,14.99,GL,few clouds,0.0,0.0,2020-03-04 21:59:33
175,Pisco,-13.7,-76.22,75.0,30,40,16.11,PE,scattered clouds,0.0,0.0,2020-03-04 22:01:08
176,Mariental,-24.63,17.97,76.01,42,9,11.41,NA,clear sky,0.0,0.0,2020-03-04 22:01:09
177,Bambous Virieux,-20.34,57.76,79.0,100,40,10.38,MU,scattered clouds,0.0,0.0,2020-03-04 22:01:09
178,Bereda,43.27,-7.54,62.6,82,40,14.99,ES,scattered clouds,0.0,0.0,2020-03-04 22:01:09
179,Tshikapa,-6.42,20.8,74.25,76,34,1.9,CD,scattered clouds,0.0,0.0,2020-03-04 22:01:09
180,Zhezkazgan,47.8,67.71,10.8,59,21,4.76,KZ,few clouds,0.0,0.0,2020-03-04 22:01:09
181,Vila Franca Do Campo,37.72,-25.43,57.2,62,20,5.82,PT,few clouds,0.0,0.0,2020-03-04 22:01:10
182,Mount Hagen,-5.86,144.23,53.2,99,100,0.51,PG,heavy intensity rain,12.13,0.0,2020-03-04 22:01:10
183,Guerrero Negro,27.98,-114.06,72.05,36,0,9.01,MX,clear sky,0.0,0.0,2020-03-04 22:01:10
184,Mengyin,35.71,117.93,28.08,55,0,3.0,CN,clear sky,0.0,0.0,2020-03-04 22:01:10
185,Lhokseumawe,5.18,97.15,72.27,90,100,2.15,ID,overcast clouds,0.0,0.0,2020-03-04 21:56:34
186,Usinsk,65.99,57.53,13.06,91,94,16.75,RU,light snow,0.0,0.13,2020-03-04 22:01:11
187,Aklavik,68.22,-135.01,-14.8,62,40,8.59,CA,scattered clouds,0.0,0.0,2020-03-04 22:01:11
188,Tahoua,14.89,5.27,86.0,13,0,4.7,NE,clear sky,0.0,0.0,2020-03-04 22:01:11
189,Sakakah,29.97,40.21,57.2,30,0,9.17,SA,clear sky,0.0,0.0,2020-03-04 22:01:11
190,Taywarah,33.35,64.42,24.48,88,100,6.8,AF,light snow,0.0,0.94,2020-03-04 22:01:12
191,Ponta Do Sol,32.67,-17.1,64.4,72,40,8.05,PT,scattered clouds,0.0,0.0,2020-03-04 22:01:12
192,Vila Velha,-20.33,-40.29,77.0,94,75,9.17,BR,moderate rain,0.0,0.0,2020-03-04 22:01:12
193,Lavrentiya,65.58,-171.0,1.29,90,85,2.75,RU,overcast clouds,0.0,0.0,2020-03-04 22:01:12
194,Dunedin,-45.87,170.5,49.28,70,0,4.59,NZ,clear sky,0.0,0.0,2020-03-04 22:01:13
195,Nhulunbuy,-12.23,136.77,82.4,83,51,5.82,AU,broken clouds,0.0,0.0,2020-03-04 22:01:13
196,Richards Bay,-28.78,32.04,75.99,74,0,20.62,ZA,clear sky,0.0,0.0,2020-03-04 22:01:13
197,Minsk,53.9,27.57,46.4,93,75,6.71,BY,broken clouds,0.0,0.0,2020-03-04 22:00:55
198,Grootfontein,-19.57,18.12,64.27,82,17,10.89,NA,light rain,1.13,0.0,2020-03-04 22:01:14
199,Goalpara,26.17,90.62,65.19,59,32,2.04,IN,scattered clouds,0.0,0.0,2020-03-04 22:01:14
200,Cherskiy,68.75,161.3,1.29,73,46,14.79,RU,scattered clouds,0.0,0.0,2020-03-04 22:01:14
201,Sampit,-2.53,112.95,73.31,99,100,1.79,ID,overcast clouds,0.0,0.0,2020-03-04 22:01:14
202,Fort Nelson,58.81,-122.7,10.4,51,75,9.17,CA,broken clouds,0.0,0.0,2020-03-04 22:00:43
203,Jaisalmer,26.91,70.92,68.58,45,0,13.67,IN,clear sky,0.0,0.0,2020-03-04 22:01:15
204,Karasuk,53.74,78.04,20.91,94,100,14.92,RU,overcast clouds,0.0,0.0,2020-03-04 22:01:15
205,Brae,60.4,-1.35,42.8,93,99,10.29,GB,light rain,0.63,0.0,2020-03-04 22:01:15
206,Quatre Cocos,-20.21,57.76,79.0,100,40,9.93,MU,scattered clouds,0.0,0.0,2020-03-04 21:59:12
207,Ingersoll,43.03,-80.88,37.99,74,90,11.41,CA,overcast clouds,0.0,0.0,2020-03-04 22:01:15
208,Hambantota,6.12,81.12,77.0,100,75,2.24,LK,broken clouds,0.0,0.0,2020-03-04 22:01:16
209,Yueyang,29.33,113.09,47.46,90,20,1.28,CN,few clouds,0.0,0.0,2020-03-04 22:01:16
210,Clyde River,70.47,-68.59,-14.8,83,75,16.11,CA,broken clouds,0.0,0.0,2020-03-04 22:01:16
211,Waipawa,-41.41,175.52,61.0,54,83,18.34,NZ,broken clouds,0.0,0.0,2020-03-04 22:01:17
212,Angoche,-16.23,39.91,73.62,92,14,7.36,MZ,few clouds,0.0,0.0,2020-03-04 22:01:17
213,Buala,-8.14,159.59,82.31,80,100,4.14,SB,light rain,1.75,0.0,2020-03-04 22:01:17
214,Campbell River,50.02,-125.24,46.4,69,75,12.75,CA,broken clouds,0.0,0.0,2020-03-04 22:01:17
215,Kodino,63.72,39.64,16.03,92,67,7.09,RU,broken clouds,0.0,0.0,2020-03-04 22:01:17
216,Okhotsk,59.38,143.3,-0.4,99,92,1.66,RU,overcast clouds,0.0,0.0,2020-03-04 22:01:18
217,Raudeberg,61.99,5.14,39.0,93,75,11.41,NO,light intensity shower rain,0.0,0.0,2020-03-04 22:01:18
218,Aberdeen,57.14,-2.1,37.99,77,67,3.36,GB,broken clouds,0.0,0.0,2020-03-04 22:01:18
